#node	identifier	category	term ID	term description
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0050794	Regulation of cellular process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0050931	Pigment cell differentiation
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0060429	Epithelium development
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0065007	Biological regulation
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0070285	Pigment cell development
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0071840	Cellular component organization or biogenesis
ADAMTSL4	9606.ENSP00000358035	GO Function	GO:0002020	Protease binding
ADAMTSL4	9606.ENSP00000358035	GO Function	GO:0005488	Binding
ADAMTSL4	9606.ENSP00000358035	GO Function	GO:0005515	Protein binding
ADAMTSL4	9606.ENSP00000358035	GO Function	GO:0019899	Enzyme binding
ADAMTSL4	9606.ENSP00000358035	GO Function	GO:0042802	Identical protein binding
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0005576	Extracellular region
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0005614	Interstitial matrix
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0005622	Intracellular anatomical structure
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0005737	Cytoplasm
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0005783	Endoplasmic reticulum
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0005788	Endoplasmic reticulum lumen
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0012505	Endomembrane system
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0030312	External encapsulating structure
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0031012	Extracellular matrix
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0031974	Membrane-enclosed lumen
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0043226	Organelle
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0043227	Membrane-bounded organelle
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0043229	Intracellular organelle
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0043231	Intracellular membrane-bounded organelle
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0043233	Organelle lumen
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0062023	Collagen-containing extracellular matrix
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0070013	Intracellular organelle lumen
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0071944	Cell periphery
ADAMTSL4	9606.ENSP00000358035	GO Component	GO:0110165	Cellular anatomical entity
ADAMTSL4	9606.ENSP00000358035	STRING clusters	CL:37333	Mostly uncharacterized, incl. Nanophthalmos, and Angle-closure glaucoma
ADAMTSL4	9606.ENSP00000358035	STRING clusters	CL:37334	Mostly uncharacterized, incl. Domain of unknown function DUF4195, and PLAC (protease and lacunin) domain
ADAMTSL4	9606.ENSP00000358035	STRING clusters	CL:37335	Mostly uncharacterized, incl. PLAC (protease and lacunin) domain, and Family 104
ADAMTSL4	9606.ENSP00000358035	STRING clusters	CL:37336	Mostly uncharacterized, incl. PLAC (protease and lacunin) domain, and Family 104
ADAMTSL4	9606.ENSP00000358035	STRING clusters	CL:37364	Mixed, incl. PLAC (protease and lacunin) domain, and Retinitis pigmentosa 66
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-1643685	Disease
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-3781865	Diseases of glycosylation
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-3906995	Diseases associated with O-glycosylation of proteins
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-392499	Metabolism of proteins
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-5083635	Defective B3GALTL causes PpS
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-5173105	O-linked glycosylation
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-5173214	O-glycosylation of TSR domain-containing proteins
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-5668914	Diseases of metabolism
ADAMTSL4	9606.ENSP00000358035	Reactome	HSA-597592	Post-translational protein modification
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:0050155	Sensory system disease
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:0050177	Monogenic disease
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:0050475	Weill-Marchesani syndrome
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:0050739	Autosomal genetic disease
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:0111148	Isolated ectopia lentis
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:110	Lens disease
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:225	Syndrome
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:4	Disease
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:5614	Eye disease
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:630	Genetic disease
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:7	Disease of anatomical entity
ADAMTSL4	9606.ENSP00000358035	DISEASES	DOID:863	Nervous system disease
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0000042	Animal
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0000081	Reproductive system
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0000083	Female reproductive system
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0000174	Embryonic structure
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0000284	Organism form
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0000449	Fetus
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0001078	Placenta
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0001486	Skeletal system
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0001489	Whole body
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0003091	Urogenital system
ADAMTSL4	9606.ENSP00000358035	TISSUES	BTO:0003099	Internal female genital organ
ADAMTSL4	9606.ENSP00000358035	Monarch	EFO:0004306	Erythrocyte indices
ADAMTSL4	9606.ENSP00000358035	Monarch	EFO:0004503	Hematological measurement
ADAMTSL4	9606.ENSP00000358035	Monarch	EFO:0004526	Mean corpuscular volume
ADAMTSL4	9606.ENSP00000358035	Monarch	EFO:0005047	Erythrocyte measurement
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000118	Phenotypic abnormality
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000152	Abnormality of head or neck
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000234	Abnormality of the head
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000271	Abnormality of the face
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000272	Malar flattening
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000277	Abnormal mandible morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000303	Mandibular prognathia
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000306	Abnormality of the chin
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000309	Abnormal midface morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000478	Abnormality of the eye
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000479	Abnormal retinal morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000496	Abnormality of eye movement
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000504	Abnormality of vision
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000505	Visual impairment
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000517	Abnormal lens morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000518	Cataract
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000525	Abnormality iris morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000539	Abnormality of refraction
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000541	Retinal detachment
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000545	Myopia
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000553	Abnormal uvea morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000615	Abnormal pupil morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000639	Nystagmus
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000646	Amblyopia
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000707	Abnormality of the nervous system
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000822	Hypertension
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000924	Abnormality of the skeletal system
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0000929	Abnormal skull morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0001083	Ectopia lentis
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0001098	Abnormal fundus morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0001376	Limitation of joint mobility
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0001387	Joint stiffness
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0001626	Abnormality of the cardiovascular system
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0004328	Abnormal anterior eye segment morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0004329	Abnormal posterior eye segment morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0007663	Reduced visual acuity
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0009121	Abnormal axial skeleton morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0009917	Persistent pupillary membrane
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0009918	Ectopia pupillae
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0010668	Abnormal zygomatic bone morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0011003	High myopia
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0011025	Abnormal cardiovascular system physiology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0011446	Abnormality of higher mental function
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0011729	Abnormality of joint mobility
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0011821	Abnormal facial skeleton morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0011842	Abnormal skeletal morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0011843	Abnormal musculoskeletal physiology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0012372	Abnormal eye morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0012373	Abnormal eye physiology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0012547	Abnormal involuntary eye movements
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0012638	Abnormal nervous system physiology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0030791	Abnormal jaw morphology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0030972	Abnormal systemic blood pressure
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0032263	Increased blood pressure
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0033127	Abnormality of the musculoskeletal system
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0034430	Abnormal joint physiology
ADAMTSL4	9606.ENSP00000358035	Monarch	HP:0100543	Cognitive impairment
ADAMTSL4	9606.ENSP00000358035	UniProt Keywords	KW-0025	Alternative splicing
ADAMTSL4	9606.ENSP00000358035	UniProt Keywords	KW-0053	Apoptosis
ADAMTSL4	9606.ENSP00000358035	UniProt Keywords	KW-0272	Extracellular matrix
ADAMTSL4	9606.ENSP00000358035	UniProt Keywords	KW-0325	Glycoprotein
ADAMTSL4	9606.ENSP00000358035	UniProt Keywords	KW-0677	Repeat
ADAMTSL4	9606.ENSP00000358035	UniProt Keywords	KW-0732	Signal
ADAMTSL4	9606.ENSP00000358035	UniProt Keywords	KW-0964	Secreted
ADAMTSL4	9606.ENSP00000358035	Pfam	PF08686	PLAC (protease and lacunin) domain
ADAMTSL4	9606.ENSP00000358035	InterPro	IPR000884	Thrombospondin type-1 (TSP1) repeat
ADAMTSL4	9606.ENSP00000358035	InterPro	IPR010294	ADAMTS/ADAMTS-like, Spacer 1
ADAMTSL4	9606.ENSP00000358035	InterPro	IPR010909	PLAC
ADAMTSL4	9606.ENSP00000358035	InterPro	IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
ADAMTSL4	9606.ENSP00000358035	InterPro	IPR045371	ADAMTS/ADAMTS-like, cysteine-rich domain 3
ADAMTSL4	9606.ENSP00000358035	SMART	SM00209	Thrombospondin type 1 repeats
ALPK1	9606.ENSP00000498374	GO Process	GO:0002221	Pattern recognition receptor signaling pathway
ALPK1	9606.ENSP00000498374	GO Process	GO:0002376	Immune system process
ALPK1	9606.ENSP00000498374	GO Process	GO:0002682	Regulation of immune system process
ALPK1	9606.ENSP00000498374	GO Process	GO:0002753	Cytoplasmic pattern recognition receptor signaling pathway
ALPK1	9606.ENSP00000498374	GO Process	GO:0002764	Immune response-regulating signaling pathway
ALPK1	9606.ENSP00000498374	GO Process	GO:0006468	Protein phosphorylation
ALPK1	9606.ENSP00000498374	GO Process	GO:0006793	Phosphorus metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0006796	Phosphate-containing compound metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0006807	Nitrogen compound metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0006950	Response to stress
ALPK1	9606.ENSP00000498374	GO Process	GO:0006952	Defense response
ALPK1	9606.ENSP00000498374	GO Process	GO:0006955	Immune response
ALPK1	9606.ENSP00000498374	GO Process	GO:0006996	Organelle organization
ALPK1	9606.ENSP00000498374	GO Process	GO:0007154	Cell communication
ALPK1	9606.ENSP00000498374	GO Process	GO:0007165	Signal transduction
ALPK1	9606.ENSP00000498374	GO Process	GO:0008152	Metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0009605	Response to external stimulus
ALPK1	9606.ENSP00000498374	GO Process	GO:0009607	Response to biotic stimulus
ALPK1	9606.ENSP00000498374	GO Process	GO:0009966	Regulation of signal transduction
ALPK1	9606.ENSP00000498374	GO Process	GO:0009967	Positive regulation of signal transduction
ALPK1	9606.ENSP00000498374	GO Process	GO:0009987	Cellular process
ALPK1	9606.ENSP00000498374	GO Process	GO:0010646	Regulation of cell communication
ALPK1	9606.ENSP00000498374	GO Process	GO:0010647	Positive regulation of cell communication
ALPK1	9606.ENSP00000498374	GO Process	GO:0016043	Cellular component organization
ALPK1	9606.ENSP00000498374	GO Process	GO:0016310	Phosphorylation
ALPK1	9606.ENSP00000498374	GO Process	GO:0019538	Protein metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0022607	Cellular component assembly
ALPK1	9606.ENSP00000498374	GO Process	GO:0023051	Regulation of signaling
ALPK1	9606.ENSP00000498374	GO Process	GO:0023052	Signaling
ALPK1	9606.ENSP00000498374	GO Process	GO:0023056	Positive regulation of signaling
ALPK1	9606.ENSP00000498374	GO Process	GO:0030030	Cell projection organization
ALPK1	9606.ENSP00000498374	GO Process	GO:0030031	Cell projection assembly
ALPK1	9606.ENSP00000498374	GO Process	GO:0030522	Intracellular receptor signaling pathway
ALPK1	9606.ENSP00000498374	GO Process	GO:0035556	Intracellular signal transduction
ALPK1	9606.ENSP00000498374	GO Process	GO:0036211	Protein modification process
ALPK1	9606.ENSP00000498374	GO Process	GO:0043122	Regulation of I-kappaB kinase/NF-kappaB signaling
ALPK1	9606.ENSP00000498374	GO Process	GO:0043123	Positive regulation of I-kappaB kinase/NF-kappaB signaling
ALPK1	9606.ENSP00000498374	GO Process	GO:0043170	Macromolecule metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0043207	Response to external biotic stimulus
ALPK1	9606.ENSP00000498374	GO Process	GO:0043412	Macromolecule modification
ALPK1	9606.ENSP00000498374	GO Process	GO:0044085	Cellular component biogenesis
ALPK1	9606.ENSP00000498374	GO Process	GO:0044237	Cellular metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0044238	Primary metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0044419	Biological process involved in interspecies interaction between organisms
ALPK1	9606.ENSP00000498374	GO Process	GO:0044782	Cilium organization
ALPK1	9606.ENSP00000498374	GO Process	GO:0045087	Innate immune response
ALPK1	9606.ENSP00000498374	GO Process	GO:0048518	Positive regulation of biological process
ALPK1	9606.ENSP00000498374	GO Process	GO:0048522	Positive regulation of cellular process
ALPK1	9606.ENSP00000498374	GO Process	GO:0048583	Regulation of response to stimulus
ALPK1	9606.ENSP00000498374	GO Process	GO:0048584	Positive regulation of response to stimulus
ALPK1	9606.ENSP00000498374	GO Process	GO:0050776	Regulation of immune response
ALPK1	9606.ENSP00000498374	GO Process	GO:0050789	Regulation of biological process
ALPK1	9606.ENSP00000498374	GO Process	GO:0050794	Regulation of cellular process
ALPK1	9606.ENSP00000498374	GO Process	GO:0050896	Response to stimulus
ALPK1	9606.ENSP00000498374	GO Process	GO:0051707	Response to other organism
ALPK1	9606.ENSP00000498374	GO Process	GO:0051716	Cellular response to stimulus
ALPK1	9606.ENSP00000498374	GO Process	GO:0060271	Cilium assembly
ALPK1	9606.ENSP00000498374	GO Process	GO:0065007	Biological regulation
ALPK1	9606.ENSP00000498374	GO Process	GO:0070925	Organelle assembly
ALPK1	9606.ENSP00000498374	GO Process	GO:0071704	Organic substance metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:0071840	Cellular component organization or biogenesis
ALPK1	9606.ENSP00000498374	GO Process	GO:0098542	Defense response to other organism
ALPK1	9606.ENSP00000498374	GO Process	GO:0120031	Plasma membrane bounded cell projection assembly
ALPK1	9606.ENSP00000498374	GO Process	GO:0120036	Plasma membrane bounded cell projection organization
ALPK1	9606.ENSP00000498374	GO Process	GO:1901564	Organonitrogen compound metabolic process
ALPK1	9606.ENSP00000498374	GO Process	GO:1902531	Regulation of intracellular signal transduction
ALPK1	9606.ENSP00000498374	GO Process	GO:1902533	Positive regulation of intracellular signal transduction
ALPK1	9606.ENSP00000498374	GO Function	GO:0000166	Nucleotide binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0003824	Catalytic activity
ALPK1	9606.ENSP00000498374	GO Function	GO:0004672	Protein kinase activity
ALPK1	9606.ENSP00000498374	GO Function	GO:0004674	Protein serine/threonine kinase activity
ALPK1	9606.ENSP00000498374	GO Function	GO:0005488	Binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0005524	ATP binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0016301	Kinase activity
ALPK1	9606.ENSP00000498374	GO Function	GO:0016740	Transferase activity
ALPK1	9606.ENSP00000498374	GO Function	GO:0016772	Transferase activity, transferring phosphorus-containing groups
ALPK1	9606.ENSP00000498374	GO Function	GO:0016773	Phosphotransferase activity, alcohol group as acceptor
ALPK1	9606.ENSP00000498374	GO Function	GO:0017076	Purine nucleotide binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0030246	Carbohydrate binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0030554	Adenyl nucleotide binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0032553	Ribonucleotide binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0032555	Purine ribonucleotide binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0032559	Adenyl ribonucleotide binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0035639	Purine ribonucleoside triphosphate binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0036094	Small molecule binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0043167	Ion binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0043168	Anion binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0048029	Monosaccharide binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0097159	Organic cyclic compound binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0097367	Carbohydrate derivative binding
ALPK1	9606.ENSP00000498374	GO Function	GO:0106310	Protein serine kinase activity
ALPK1	9606.ENSP00000498374	GO Function	GO:0140096	Catalytic activity, acting on a protein
ALPK1	9606.ENSP00000498374	GO Function	GO:1901265	Nucleoside phosphate binding
ALPK1	9606.ENSP00000498374	GO Function	GO:1901363	Heterocyclic compound binding
ALPK1	9606.ENSP00000498374	GO Component	GO:0000922	Spindle pole
ALPK1	9606.ENSP00000498374	GO Component	GO:0005622	Intracellular anatomical structure
ALPK1	9606.ENSP00000498374	GO Component	GO:0005737	Cytoplasm
ALPK1	9606.ENSP00000498374	GO Component	GO:0005813	Centrosome
ALPK1	9606.ENSP00000498374	GO Component	GO:0005815	Microtubule organizing center
ALPK1	9606.ENSP00000498374	GO Component	GO:0005819	Spindle
ALPK1	9606.ENSP00000498374	GO Component	GO:0005829	Cytosol
ALPK1	9606.ENSP00000498374	GO Component	GO:0005856	Cytoskeleton
ALPK1	9606.ENSP00000498374	GO Component	GO:0005929	Cilium
ALPK1	9606.ENSP00000498374	GO Component	GO:0015630	Microtubule cytoskeleton
ALPK1	9606.ENSP00000498374	GO Component	GO:0042995	Cell projection
ALPK1	9606.ENSP00000498374	GO Component	GO:0043226	Organelle
ALPK1	9606.ENSP00000498374	GO Component	GO:0043227	Membrane-bounded organelle
ALPK1	9606.ENSP00000498374	GO Component	GO:0043228	Non-membrane-bounded organelle
ALPK1	9606.ENSP00000498374	GO Component	GO:0043229	Intracellular organelle
ALPK1	9606.ENSP00000498374	GO Component	GO:0043232	Intracellular non-membrane-bounded organelle
ALPK1	9606.ENSP00000498374	GO Component	GO:0110165	Cellular anatomical entity
ALPK1	9606.ENSP00000498374	GO Component	GO:0120025	Plasma membrane bounded cell projection
ALPK1	9606.ENSP00000498374	STRING clusters	CL:16582	Toll-like Receptor Cascades, and Death-like domain superfamily
ALPK1	9606.ENSP00000498374	STRING clusters	CL:16583	Toll-like Receptor Cascades, and NF-kappa B signaling pathway
ALPK1	9606.ENSP00000498374	STRING clusters	CL:16584	Toll-like Receptor Cascades, and Novel intracellular components of RIG-I-like receptor pathway
ALPK1	9606.ENSP00000498374	STRING clusters	CL:16585	Mixed, incl. Novel intracellular components of RIG-I-like receptor pathway, and TNFR1-induced NFkappaB signaling pathway
ALPK1	9606.ENSP00000498374	STRING clusters	CL:16586	TNFR1-induced NFkappaB signaling pathway, and TAK1-dependent IKK and NF-kappa-B activation
ALPK1	9606.ENSP00000498374	STRING clusters	CL:16587	Mixed, incl. TNFR1-induced NFkappaB signaling pathway, and NF-kappa-B/Dorsal
ALPK1	9606.ENSP00000498374	Reactome	HSA-1280215	Cytokine Signaling in Immune system
ALPK1	9606.ENSP00000498374	Reactome	HSA-166016	Toll Like Receptor 4 (TLR4) Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane
ALPK1	9606.ENSP00000498374	Reactome	HSA-166166	MyD88-independent TLR4 cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168138	Toll Like Receptor 9 (TLR9) Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168142	Toll Like Receptor 10 (TLR10) Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168164	Toll Like Receptor 3 (TLR3) Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168176	Toll Like Receptor 5 (TLR5) Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-168249	Innate Immune System
ALPK1	9606.ENSP00000498374	Reactome	HSA-168256	Immune System
ALPK1	9606.ENSP00000498374	Reactome	HSA-168898	Toll-like Receptor Cascades
ALPK1	9606.ENSP00000498374	Reactome	HSA-181438	Toll Like Receptor 2 (TLR2) Cascade
ALPK1	9606.ENSP00000498374	Reactome	HSA-445989	TAK1-dependent IKK and NF-kappa-B activation
ALPK1	9606.ENSP00000498374	Reactome	HSA-446652	Interleukin-1 family signaling
ALPK1	9606.ENSP00000498374	Reactome	HSA-449147	Signaling by Interleukins
ALPK1	9606.ENSP00000498374	Reactome	HSA-9020702	Interleukin-1 signaling
ALPK1	9606.ENSP00000498374	Reactome	HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling
ALPK1	9606.ENSP00000498374	Reactome	HSA-9645460	Alpha-protein kinase 1 signaling pathway
ALPK1	9606.ENSP00000498374	Reactome	HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation
ALPK1	9606.ENSP00000498374	Reactome	HSA-975155	MyD88 dependent cascade initiated on endosome
ALPK1	9606.ENSP00000498374	Reactome	HSA-975871	MyD88 cascade initiated on plasma membrane
ALPK1	9606.ENSP00000498374	DISEASES	DOID:0050177	Monogenic disease
ALPK1	9606.ENSP00000498374	DISEASES	DOID:0050628	Advanced sleep phase syndrome
ALPK1	9606.ENSP00000498374	DISEASES	DOID:0050736	Autosomal dominant disease
ALPK1	9606.ENSP00000498374	DISEASES	DOID:0050739	Autosomal genetic disease
ALPK1	9606.ENSP00000498374	DISEASES	DOID:0060072	Benign neoplasm
